genero,renda,dias_na_plataforma,cidade,compras_realizadas
M,135260,8.0,San Francisco,0
F,103129,14.0,San Francisco,2
M,117416,22.0,London,2
F,265599,58.0,London,1
M,102207,28.0,San Francisco,1
F,15994,21.0,London,1
M,38532,23.0,New York City,0
F,2806,22.0,Tokyo,4
M,165761,42.0,San Francisco,2
F,116481,11.0,Miami,0
F,34454,49.0,San Francisco,0
F,151527,87.0,Miami,1
F,61643,44.0,London,0
M,193218,19.0,San Francisco,0
M,117703,67.0,Tokyo,2
M,91100,13.0,New York City,1
F,14049,21.0,San Francisco,1
F,123797,40.0,San Francisco,1
F,22956,63.0,San Francisco,2
F,73251,35.0,London,0
F,118296,6.0,Tokyo,2
M,24368,3.0,Tokyo,1
F,8527,50.0,San Francisco,1
F,136491,11.0,New York City,3
M,8492,20.0,Miami,0
M,71369,28.0,San Francisco,0
F,60457,11.0,San Francisco,2
M,197033,13.0,London,0
F,118176,28.0,New York City,0
F,14399,17.0,San Francisco,0
M,135846,10.0,New York City,0
M,118400,36.0,New York City,3
F,72892,35.0,Tokyo,2
M,53648,0.0,New York City,0
F,29293,25.0,New York City,1
F,107097,24.0,Miami,0
F,51214,49.0,London,1
F,95353,14.0,San Francisco,2
M,166825,16.0,San Francisco,2
M,128826,13.0,Miami,1
M,196019,4.0,San Francisco,0
M,40812,18.0,New York City,0
M,142414,38.0,Tokyo,0
M,229541,28.0,New York City,0
M,70387,37.0,San Francisco,0
F,126700,22.0,London,1
F,16968,14.0,San Francisco,0
M,55754,3.0,Tokyo,2
F,76339,8.0,Tokyo,0
M,55774,3.0,Tokyo,2
F,93440,11.0,London,1
M,10181,13.0,New York City,0
F,47546,26.0,Tokyo,3
F,147687,0.0,San Francisco,2
F,143031,1.0,Miami,1
M,222541,24.0,New York City,5
M,136946,39.0,Tokyo,0
M,46745,15.0,London,0
F,109273,26.0,Miami,0
M,102269,1.0,New York City,1
M,36351,29.0,London,0
M,219073,10.0,San Francisco,0
F,191620,51.0,New York City,3
M,164043,0.0,Miami,1
F,67403,25.0,Miami,0
F,78530,40.0,Miami,2
F,16574,24.0,Miami,4
F,116155,31.0,Tokyo,1
M,43535,29.0,New York City,0
M,14583,30.0,Tokyo,0
F,56863,43.0,London,0
M,62405,11.0,London,1
F,124711,71.0,San Francisco,1
F,60096,3.0,New York City,1
M,127181,8.0,Miami,3
M,52010,36.0,San Francisco,1
M,70368,1.0,New York City,0
M,92534,49.0,Miami,5
M,142883,25.0,Tokyo,2
F,49016,8.0,Miami,0
M,49526,22.0,Miami,0
F,133043,1.0,Tokyo,2
F,26568,5.0,San Francisco,0
F,106406,4.0,New York City,1
F,19277,11.0,Miami,2
F,49997,24.0,Tokyo,1
M,6621,22.0,Miami,0
F,109924,1.0,Tokyo,0
F,40738,30.0,Tokyo,1
F,40367,2.0,New York City,0
F,127959,21.0,London,1
M,41229,4.0,London,2
M,12706,0.0,Tokyo,0
M,69105,78.0,London,0
F,171356,6.0,San Francisco,0
M,68153,48.0,San Francisco,2
F,89097,42.0,New York City,2
M,13644,33.0,New York City,0
F,30375,7.0,New York City,1
F,46850,14.0,New York City,0
M,122065,8.0,San Francisco,3
F,55674,1.0,Tokyo,0
M,16021,36.0,New York City,2
M,154170,2.0,New York City,3
M,84636,42.0,San Francisco,3
F,42695,63.0,Miami,0
F,16986,0.0,San Francisco,2
F,4526,2.0,New York City,2
F,70705,24.0,San Francisco,1
M,145418,23.0,New York City,2
F,44585,15.0,London,2
M,8193,21.0,Miami,2
F,121494,1.0,Miami,0
F,182301,30.0,San Francisco,0
M,132229,32.0,San Francisco,0
F,107281,45.0,Tokyo,2
F,82995,22.0,New York City,2
M,51093,42.0,San Francisco,1
F,48212,17.0,London,1
F,48359,13.0,San Francisco,1
F,39662,30.0,New York City,0
M,225174,62.0,New York City,2
M,106242,16.0,Tokyo,2
F,120174,14.0,Tokyo,0
M,16489,8.0,London,0
M,63377,7.0,New York City,1
M,41645,22.0,Tokyo,0
M,41042,6.0,New York City,1
M,224864,58.0,London,2
F,126258,29.0,London,1
M,78731,16.0,Tokyo,0
M,3940,46.0,Miami,0
M,51462,22.0,San Francisco,2
M,58135,17.0,San Francisco,2
M,18286,56.0,Miami,1
F,61236,23.0,New York City,1
F,69239,9.0,Miami,0
F,27938,24.0,Miami,0
F,179794,10.0,London,1
F,76830,17.0,San Francisco,0
M,92283,37.0,Tokyo,0
F,89170,7.0,Tokyo,1
M,40281,23.0,San Francisco,1
M,31937,29.0,Tokyo,0
F,33294,35.0,San Francisco,0
M,27508,0.0,San Francisco,1
F,69827,36.0,New York City,2
M,69817,22.0,New York City,1
M,39487,38.0,Tokyo,2
M,42296,30.0,New York City,1
F,71916,7.0,Miami,4
F,90719,31.0,San Francisco,1
M,93850,54.0,Miami,1
F,134452,26.0,San Francisco,1
M,63731,35.0,San Francisco,1
F,32823,6.0,Miami,0
F,237764,12.0,Miami,3
M,78160,37.0,New York City,0
M,20232,89.0,San Francisco,0
M,179046,58.0,Miami,0
F,66360,0.0,San Francisco,3
M,14016,32.0,San Francisco,0
M,146427,1.0,Miami,1
M,38068,7.0,Miami,0
M,65481,41.0,San Francisco,2
M,39237,25.0,Tokyo,0
F,60688,9.0,New York City,1
F,62800,53.0,New York City,1
M,52787,2.0,London,0
M,133931,28.0,Tokyo,0
M,19356,0.0,Tokyo,0
F,170552,16.0,Tokyo,1
M,27132,6.0,San Francisco,1
M,103513,45.0,London,2
M,109813,21.0,Miami,0
F,118006,6.0,Tokyo,2
M,19178,19.0,San Francisco,2
F,263840,49.0,London,0
M,48084,34.0,London,2
M,13772,4.0,Tokyo,0
M,3774,1.0,San Francisco,0
F,252340,5.0,Miami,1
F,1722,56.0,London,1
M,105860,46.0,London,0
F,50570,26.0,San Francisco,1
M,141341,6.0,London,0
F,64812,11.0,Miami,0
M,9781,19.0,Tokyo,1
M,43630,17.0,New York City,1
M,71157,31.0,London,2
F,150430,14.0,Tokyo,1
M,107387,21.0,London,2
F,137796,31.0,San Francisco,4
M,95735,8.0,London,2
M,28803,32.0,New York City,0
M,155813,37.0,San Francisco,3
M,42544,56.0,Miami,2
F,26108,36.0,Miami,0
F,35047,7.0,London,1
M,236562,4.0,London,2
F,17246,32.0,Tokyo,2
M,77084,29.0,Tokyo,1
F,127380,36.0,San Francisco,1
M,3152,29.0,Tokyo,1
M,114026,14.0,London,2
F,7518,23.0,Tokyo,1
M,132358,7.0,Tokyo,3
F,7553,23.0,Miami,0
M,111270,33.0,San Francisco,1
M,372813,0.0,Miami,4
M,5952,12.0,Miami,0
F,68552,9.0,Miami,4
F,45042,26.0,Tokyo,0
M,56425,33.0,London,3
F,34393,10.0,Miami,2
F,211522,9.0,San Francisco,0
F,75745,9.0,Tokyo,0
F,36337,16.0,Tokyo,0
F,38407,3.0,Tokyo,2
M,26204,10.0,Miami,0
M,172528,7.0,New York City,1
F,15672,8.0,Miami,1
M,11015,31.0,San Francisco,0
F,216308,27.0,Tokyo,1
F,5837,39.0,Miami,2
F,70171,3.0,Miami,0
M,48670,8.0,Miami,0
M,224376,26.0,New York City,0
F,42930,26.0,Tokyo,2
F,34303,10.0,San Francisco,1
M,241202,32.0,San Francisco,0
M,70082,23.0,Miami,0
M,12882,53.0,Tokyo,1
F,210018,34.0,San Francisco,0
F,184569,12.0,Miami,0
F,241417,12.0,Tokyo,1
M,90765,0.0,London,2
F,18141,2.0,London,4
M,55779,44.0,Miami,4
F,130753,46.0,London,6
M,174745,9.0,London,5
F,116027,26.0,Miami,1
F,86885,40.0,New York City,0
M,242122,35.0,San Francisco,0
F,41011,18.0,New York City,0
F,84362,14.0,London,1
M,48341,44.0,San Francisco,1
F,46077,2.0,New York City,1
F,165877,47.0,Tokyo,1
M,174054,1.0,Miami,0
M,5743,13.0,London,0
M,51563,72.0,San Francisco,1
F,39860,29.0,San Francisco,0
M,7475,4.0,London,0
M,55262,32.0,London,1
M,138484,20.0,London,0
F,103353,35.0,Tokyo,1
M,26634,35.0,London,1
M,70504,52.0,Tokyo,1
M,60944,10.0,San Francisco,0
M,156382,31.0,Tokyo,0
M,6536,23.0,London,1
F,29339,5.0,London,0
M,38872,16.0,New York City,1
M,7397,57.0,San Francisco,0
F,129025,68.0,Tokyo,1
M,65428,3.0,New York City,2
M,86580,27.0,San Francisco,0
M,26867,25.0,Miami,4
M,84225,19.0,London,0
M,104856,44.0,London,3
M,244077,26.0,San Francisco,1
F,41679,2.0,Tokyo,0
M,12821,7.0,New York City,3
F,86986,30.0,San Francisco,0
F,52124,28.0,San Francisco,0
M,33672,26.0,Tokyo,0
M,40479,30.0,New York City,1
F,58079,47.0,London,2
F,21763,12.0,Miami,0
F,98451,36.0,San Francisco,1
M,149712,54.0,Tokyo,1
M,86520,40.0,New York City,0
F,120153,17.0,San Francisco,1
M,61198,14.0,London,0
F,158433,6.0,New York City,0
M,36961,46.0,San Francisco,1
M,31158,37.0,New York City,0
F,174942,8.0,New York City,2
F,769,2.0,Miami,2
M,100787,4.0,London,2
M,1343,12.0,San Francisco,0
M,197832,15.0,Miami,2
F,78516,40.0,Miami,3
F,144969,83.0,Miami,0
M,174518,17.0,San Francisco,1
F,30478,31.0,Tokyo,1
F,161283,16.0,London,0
M,70143,81.0,San Francisco,1
F,184482,7.0,San Francisco,0
M,59281,1.0,Miami,3
F,61567,7.0,London,0
M,45547,13.0,Tokyo,2
M,78351,47.0,New York City,0
M,9642,28.0,Tokyo,3
M,130380,31.0,San Francisco,1
F,200937,21.0,San Francisco,2
F,40606,18.0,Miami,1
M,100959,7.0,Miami,0
M,33423,15.0,San Francisco,0
F,6677,3.0,Miami,0
M,34061,21.0,London,0
M,129809,6.0,Tokyo,0
M,95358,10.0,London,0
M,158214,52.0,Miami,1
M,159946,33.0,New York City,0
M,21555,4.0,London,0
M,29036,4.0,New York City,3
M,5123,4.0,New York City,1
M,19865,14.0,Tokyo,4
F,159529,26.0,Miami,1
F,47295,48.0,San Francisco,0
M,34813,12.0,London,2
M,169156,9.0,Miami,1
M,160093,9.0,London,1
F,65150,13.0,Tokyo,0
M,136320,0.0,San Francisco,2
M,22409,9.0,London,0
M,77833,46.0,New York City,0
F,38288,58.0,San Francisco,0
F,85401,3.0,San Francisco,1
M,118392,46.0,San Francisco,2
M,50254,26.0,New York City,1
M,173543,61.0,New York City,0
F,98269,10.0,London,0
M,6289,6.0,London,0
M,156242,42.0,New York City,0
F,230211,21.0,Tokyo,0
M,67753,18.0,Tokyo,0
F,77614,38.0,Tokyo,1
F,95559,7.0,San Francisco,0
M,55193,7.0,San Francisco,0
M,51868,1.0,Tokyo,0
M,60193,11.0,London,1
M,61797,3.0,San Francisco,0
M,60407,15.0,Tokyo,1
M,43721,9.0,Tokyo,3
F,52996,33.0,San Francisco,0
M,82661,3.0,San Francisco,1
F,60661,5.0,Tokyo,3
F,51073,2.0,Miami,2
M,33324,37.0,London,0
M,7140,48.0,Miami,1
M,145295,19.0,San Francisco,0
F,69828,24.0,London,2
M,38090,27.0,Miami,0
M,101592,15.0,Tokyo,1
M,12176,15.0,New York City,2
F,32875,33.0,Miami,0
F,83143,50.0,New York City,2
M,13816,5.0,New York City,4
M,79668,25.0,London,0
M,34006,33.0,Tokyo,3
M,110916,11.0,San Francisco,2
M,30349,1.0,San Francisco,2
M,78475,8.0,New York City,1
M,6017,0.0,Miami,1
M,74849,13.0,Miami,3
F,92465,29.0,Tokyo,4
M,40236,35.0,Miami,1
F,54187,37.0,New York City,3
M,170375,32.0,London,0
F,84371,20.0,London,1
M,178369,17.0,Miami,0
F,19881,20.0,Miami,0
M,263497,2.0,San Francisco,3
M,155199,32.0,London,3
M,11043,20.0,San Francisco,1
F,214903,18.0,San Francisco,1
M,170974,60.0,London,0
M,175146,3.0,London,0
M,117203,7.0,London,4
M,7545,21.0,San Francisco,1
M,32219,49.0,New York City,1
M,63246,36.0,San Francisco,2
M,129477,39.0,San Francisco,2
M,70584,31.0,London,1
F,48427,38.0,Tokyo,1
F,99765,28.0,Miami,0
F,64138,22.0,London,2
M,28304,6.0,San Francisco,1
M,91453,35.0,London,0
M,87552,13.0,London,0
M,18687,62.0,London,0
F,734,12.0,Miami,1
F,60218,6.0,Tokyo,0
M,152051,30.0,Tokyo,0
F,210323,31.0,New York City,1
F,57937,10.0,New York City,0
F,215686,26.0,Miami,0
F,160106,61.0,London,0
M,85945,33.0,Tokyo,0
F,57113,5.0,New York City,0
F,85976,9.0,Tokyo,1
F,27754,57.0,New York City,1
M,2134,26.0,London,2
F,190425,11.0,Miami,0
F,39474,14.0,London,0
M,62432,0.0,New York City,2
F,78419,4.0,San Francisco,2
F,42700,0.0,Tokyo,1
M,87490,11.0,Miami,0
M,21521,30.0,San Francisco,2
M,66440,15.0,Miami,2
M,43288,6.0,Miami,0
M,54128,2.0,New York City,1
M,82298,8.0,New York City,1
F,53859,0.0,Tokyo,2
M,42019,9.0,Miami,2
F,81600,24.0,New York City,1
F,108769,40.0,Miami,3
F,59252,23.0,Miami,0
F,43843,12.0,London,1
F,62328,6.0,New York City,1
F,44863,40.0,New York City,0
M,15733,90.0,London,1
M,226409,13.0,Tokyo,2
M,109498,42.0,San Francisco,0
M,86153,11.0,Tokyo,2
M,126850,18.0,New York City,2
M,195180,14.0,Miami,0
F,56908,5.0,Miami,2
M,42401,5.0,Miami,2
M,50194,18.0,London,4
F,37736,35.0,Tokyo,0
F,14028,23.0,Miami,1
M,106516,25.0,Tokyo,1
F,40523,51.0,San Francisco,1
M,67980,0.0,San Francisco,0
M,59490,32.0,San Francisco,0
F,30715,27.0,New York City,0
F,60152,42.0,Tokyo,1
M,93915,28.0,San Francisco,1
M,47912,28.0,Miami,1
F,146516,2.0,Tokyo,3
F,87484,17.0,San Francisco,1
M,43490,24.0,New York City,3
M,88726,14.0,San Francisco,0
M,213112,13.0,London,2
M,17515,14.0,San Francisco,1
F,150206,59.0,San Francisco,1
M,79483,103.0,San Francisco,0
F,70577,31.0,New York City,1
F,104207,7.0,London,0
F,156854,26.0,Miami,3
F,87209,46.0,Miami,0
M,72314,14.0,London,0
F,171815,57.0,London,2
M,160822,28.0,London,2
F,113599,7.0,San Francisco,4
F,26433,14.0,Miami,2
M,160562,31.0,New York City,1
F,68876,1.0,New York City,0
M,3582,28.0,London,0
F,81188,19.0,Tokyo,1
F,90970,59.0,London,2
M,25844,9.0,San Francisco,3
F,3352,26.0,New York City,2
F,76851,14.0,San Francisco,1
F,51320,17.0,Tokyo,1
M,35378,10.0,Miami,3
F,200824,54.0,San Francisco,1
F,43,1.0,Tokyo,0
F,53126,3.0,Tokyo,0
M,35880,1.0,Tokyo,0
M,8245,47.0,London,0
M,2717,3.0,Tokyo,1
F,39868,21.0,London,2
F,17790,1.0,New York City,1
M,163878,31.0,San Francisco,0
F,15827,34.0,New York City,1
M,62925,10.0,New York City,1
M,42302,33.0,London,0
M,80161,14.0,Tokyo,1
F,48028,55.0,San Francisco,0
F,30152,21.0,Tokyo,1
M,18337,21.0,London,2
F,30682,17.0,New York City,0
M,32128,65.0,Miami,3
M,233744,3.0,Tokyo,4
M,153746,17.0,New York City,2
M,29368,29.0,New York City,0
M,87354,5.0,Miami,0
F,126499,53.0,Miami,1
F,73380,1.0,Tokyo,0
M,90764,7.0,San Francisco,0
M,98404,44.0,New York City,2
F,76919,25.0,London,0
M,169828,22.0,New York City,3
M,76253,22.0,Miami,1
M,191750,10.0,New York City,1
F,191437,49.0,Tokyo,1
M,12744,3.0,Tokyo,0
M,99347,29.0,Miami,0
F,50878,27.0,Tokyo,1
F,69476,19.0,New York City,2
M,76276,19.0,Tokyo,1
F,105144,14.0,New York City,2
F,91951,27.0,London,2
M,48767,14.0,London,3
F,13920,4.0,San Francisco,1
M,37477,3.0,Miami,0
F,81212,17.0,Tokyo,2
M,25398,24.0,London,2
M,25900,11.0,Miami,1
M,12287,24.0,Tokyo,2
F,36962,15.0,San Francisco,0
M,6712,18.0,New York City,0
M,111410,6.0,New York City,0
M,49467,27.0,Miami,3
M,69888,74.0,Tokyo,1
M,82448,26.0,Tokyo,3
F,3378,11.0,San Francisco,0
F,13792,3.0,Miami,1
M,51975,86.0,Miami,0
F,2603,45.0,San Francisco,1
M,68529,55.0,Tokyo,0
F,106532,48.0,New York City,2
M,171338,20.0,Tokyo,2
F,52708,10.0,New York City,1
F,69434,32.0,San Francisco,1
F,117449,42.0,London,1
F,41695,34.0,San Francisco,1
F,83069,27.0,Tokyo,2
M,57132,1.0,Tokyo,4
F,167015,5.0,San Francisco,0
M,85948,4.0,London,1
F,37028,9.0,Tokyo,0
F,24396,57.0,Miami,0
F,45655,37.0,London,0
F,51823,22.0,San Francisco,1
F,63804,44.0,Miami,2
F,100096,5.0,New York City,2
F,65961,18.0,New York City,1
F,44010,45.0,Tokyo,1
M,80356,46.0,London,4
M,63178,37.0,Tokyo,1
M,44941,35.0,London,2
F,210,27.0,New York City,1
M,115792,12.0,New York City,4
M,241423,8.0,New York City,3
M,116022,21.0,London,3
M,16997,31.0,London,0
M,8978,51.0,London,0
F,67666,28.0,Tokyo,1
F,16703,27.0,San Francisco,1
F,153076,0.0,London,0
M,42396,7.0,Tokyo,0
F,65412,33.0,San Francisco,0
M,87115,42.0,Miami,0
F,26812,24.0,Miami,0
F,2428,27.0,Tokyo,0
F,24293,33.0,San Francisco,0
F,22317,39.0,New York City,3
F,110652,5.0,New York City,4
F,163330,14.0,London,0
M,71456,31.0,New York City,2
M,118041,11.0,New York City,2
F,10559,21.0,Miami,0
M,32055,13.0,New York City,2
M,317779,12.0,Miami,2
F,260270,61.0,New York City,0
F,60515,42.0,London,1
M,140203,6.0,Miami,0
F,179443,18.0,Tokyo,2
F,92926,13.0,San Francisco,0
F,56604,18.0,Tokyo,0
F,170454,26.0,New York City,3
M,11986,27.0,London,2
F,36137,11.0,San Francisco,1
F,49364,17.0,Tokyo,0
M,142214,4.0,Tokyo,0
F,183976,20.0,London,2
F,74966,8.0,London,1
M,65242,52.0,London,0
M,136833,19.0,Tokyo,1
M,95451,11.0,San Francisco,0
M,9039,28.0,New York City,1
F,93707,1.0,New York City,3
F,95860,14.0,London,2
M,45785,19.0,San Francisco,0
F,12168,10.0,New York City,0
F,324518,35.0,New York City,0
M,182203,8.0,Tokyo,1
F,81348,7.0,San Francisco,0
F,80651,34.0,New York City,2
F,116966,4.0,Miami,0
F,12120,2.0,London,1
M,62277,31.0,Tokyo,1
M,59889,71.0,New York City,0
F,16180,38.0,Miami,0
M,108986,53.0,Tokyo,0
F,866,0.0,Tokyo,0
F,119806,25.0,San Francisco,1
M,90110,19.0,Miami,2
M,26194,0.0,New York City,0
F,94750,19.0,New York City,1
M,170418,40.0,Tokyo,0
F,97835,36.0,San Francisco,2
F,17041,30.0,Tokyo,0
F,37179,40.0,Tokyo,1
F,11251,8.0,London,0
F,50053,17.0,London,2
M,97338,5.0,New York City,2
F,168085,46.0,Miami,0
M,60006,54.0,San Francisco,1
M,18096,1.0,New York City,2
M,68964,29.0,San Francisco,1
M,3045,17.0,New York City,1
F,43278,55.0,Tokyo,1
M,84593,7.0,San Francisco,0
F,182739,43.0,Tokyo,1
M,43705,23.0,Tokyo,0
F,112057,24.0,New York City,2
F,226597,13.0,San Francisco,1
M,87818,36.0,London,0
M,47147,32.0,San Francisco,2
F,182203,25.0,New York City,1
M,77191,20.0,London,1
M,41461,26.0,Miami,1
M,197423,23.0,San Francisco,1
M,62675,17.0,San Francisco,1
M,19137,4.0,New York City,3
M,32967,53.0,Tokyo,1
M,19484,14.0,London,2
F,7833,52.0,Miami,3
M,129145,75.0,Tokyo,1
M,94654,25.0,New York City,0
F,111056,37.0,London,1
M,5546,7.0,London,0
M,19496,40.0,Miami,0
F,123555,75.0,London,1
M,25510,29.0,Tokyo,1
F,214714,42.0,London,0
M,31941,1.0,Miami,2
M,108499,26.0,London,0
M,43056,80.0,London,0
F,37487,14.0,Tokyo,0
F,214377,31.0,San Francisco,1
M,353,16.0,Tokyo,1
F,45683,8.0,Tokyo,0
M,3580,25.0,New York City,1
F,81437,44.0,Miami,0
F,101960,4.0,London,1
F,99801,36.0,London,0
F,68737,2.0,Tokyo,3
